DEPT;SP;RHOZ;PEFZ;AT90;DTCO;Zones
1606;-3.658431053;2.483210802;3.026366949;2.629269838;128.4929352;2
1606.5;0.274456292;2.059489012;2.694972754;0.551552236;121.3422241;2
1607;0.628412843;2.090682507;2.792575598;0.577505708;120.2314301;2
1607.5;0.026954539;2.101733446;2.806548834;0.677604735;116.9281616;2
1608;0.269500315;2.164589644;2.565100431;0.7065714;115.7586289;2
1608.5;0.665925086;2.148041487;2.519830704;0.729029357;119.4543304;2
1609;0.03399853;2.108683586;2.575313807;0.655799031;122.8924179;2
1609.5;-0.058281496;2.039040804;2.463940382;0.663659751;125.709053;2
1610;-1.231102943;2.19969058;2.634183884;0.810995936;122.5169983;2
1610.5;-9.662911415;2.380660772;2.688006878;1.670184851;105.3626785;2
1611;-22.35766602;2.342206955;2.74149847;2.536761522;95.40933228;2
1611.5;-26.67316246;2.187523127;2.327815056;2.199942112;98.99965668;2
1612;-26.00915718;2.150293589;2.304581881;2.072510243;101.7851791;2
1612.5;-25.03320885;2.137564659;2.235443115;2.083374262;101.665329;2
1613;-22.06640816;2.180244446;2.213889599;2.170448065;100.2318955;2
1613.5;-20.67357445;2.202103138;2.288415194;2.210395336;99.13188934;2
1614;-20.69416618;2.211622953;2.301539421;2.16974926;97.94623566;2
1614.5;-19.13117409;2.221439123;2.367943049;2.114533901;98.04104614;2
1615;-14.56411552;2.363923073;2.579671145;2.028414965;96.60852814;2
1615.5;-6.6478405;2.299070597;2.549394846;1.520471692;95.63837433;2
1616;-2.191245079;2.236507893;2.618384123;1.119176745;101.1537247;2
1616.5;-6.711173534;2.330158472;2.690324307;1.223327994;103.2961121;2
1617;-15.69633579;2.287973881;2.530571461;1.885926962;101.3351898;2
1617.5;-18.77819061;2.183102608;2.483914375;2.14318943;100.7711868;2
1618;-17.2382431;2.165009975;2.427292824;1.70783031;97.64770508;2
1618.5;-15.32295418;2.258679867;2.672970295;1.744364858;94.29194641;2
1619;-4.368177891;2.279743195;2.743124008;1.381664991;98.14476013;2
1619.5;-1.015181184;2.179201126;2.602992535;0.82541436;106.9274979;2
1620;-0.603683114;2.052751064;2.508737326;0.751050651;112.3196716;2
1620.5;-1.195898652;2.179241419;2.521721363;1.108447433;107.7176743;2
1621;0.301833093;2.168367863;2.651902676;0.712602675;110.1351776;2
1621.5;-0.60486424;2.205288649;2.608985186;0.864695132;110.4450684;2
1622;-2.148251534;2.305378914;2.833650112;1.108775258;100.8356247;2
1622.5;-2.540827036;2.3798244;2.772292852;1.392297387;97.37438965;2
1623;-1.233625412;2.317740679;2.856398344;1.090981245;100.3456039;2
1623.5;-1.085977197;2.25785923;2.822473526;0.954087615;104.7457275;2
1624;-2.2231493;2.332918167;2.702157974;1.116288781;101.6075363;2
1624.5;-3.654140472;2.386804819;2.665358782;1.362923741;94.64756012;2
1625;-3.853918552;2.331541538;2.681408644;1.333402157;92.86177063;2
1625.5;-2.293976545;2.22948575;2.601898432;1.204278708;98.89022827;2
1626;-2.37394166;2.204170942;2.452133417;1.06231761;101.2196198;2
1626.5;-2.755693674;2.315649509;2.603308916;1.201429963;103.4000855;2
1627;-1.919030309;2.238809109;2.73303771;1.059308291;108.8524094;2
1627.5;-2.045550346;2.257647991;2.674408197;0.901137292;106.9030457;2
