DEPTH,GR,SP,RES,zonas,VSH_Linear,VSH_Clavier,VSH_Resistividad,VSH_Promedio
2137.0,85.98,0.51,2.64,Zona 4,0.6255329442714165,0.42604457940980156,0.7116170170671714,0.5877315135827964
2138.0,85.04,-8.46,5.37,Zona 4,0.5686855553203719,0.36942232029789435,0.29390302423477643,0.4106702999510142
2139.0,82.86,-0.55,3.35,Zona 4,0.43684799371050176,0.25515515047586956,0.5714975086921149,0.4211668842928287
2140.0,82.83,-1.06,2.81,Zona 4,0.4350337153397237,0.2537294633983229,0.6749045105440722,0.454555896427373
2141.0,76.69,-45.36,8.84,Zona 4,0.0637114087871549,0.027652881699394394,0.0006651091429785226,0.030676466543175938
2142.0,78.42,-39.48,8.36,Zona 4,0.16833479483535446,0.0795078883011362,0.03350837046731439,0.09378368453460169
2143.0,81.23,-0.88,2.6,Zona 4,0.3382722022315628,0.18276869460414136,0.7205987025871676,0.4138798664742906
2144.0,84.22,-0.44,2.5,Zona 4,0.5190952798524388,0.3238435050324022,0.7436718156994797,0.5288702001947736
2145.0,83.36,-0.44,2.56,Zona 4,0.4670859665568021,0.2794682873423153,0.7297196445817877,0.49209129949363506
2146.0,78.21,0.28,3.15,Zona 4,0.15563484623990784,0.07276645502251,0.6077113384249049,0.2787042132291076
2147.0,78.41,-3.28,3.69,Zona 4,0.16773003537842815,0.07918397536853305,0.5146299006871805,0.25384797047804725
2148.0,75.22,-11.18,6.64,Zona 4,0.0,0.0,0.16901865527736976,0.05633955175912325
2149.0,71.13,-10.92,7.41,Zona 4,0.0,0.0,0.10447248567551655,0.03482416189183885
2150.0,79.69,-0.91,2.89,Zona 4,0.2451392458649572,0.12306886455818233,0.65839005141019,0.3421993872777765
2151.0,88.93,-4.29,2.49,Zona 4,0.8039369840645889,0.6425627451414866,0.7460296904964155,0.7308431399008303
2152.0,86.58,-12.0,3.8,Zona 4,0.6618185116869766,0.4649087721035874,0.4973491422763755,0.5413588086889799
2153.0,88.49,-23.02,5.54,Zona 4,0.7773275679598438,0.6056950804525034,0.27556806165436776,0.5528635700222383
2154.0,75.47,-16.64,6.75,Zona 4,0.0,0.0,0.15935274893224424,0.05311758297741475
2155.0,81.56,-2.56,3.32,Zona 4,0.3582292643101209,0.196620199630958,0.5767894991688656,0.3772129877033148
2156.0,82.7,-0.74,2.98,Zona 4,0.42717184239968586,0.24759384547527552,0.6403491120384815,0.43837159997114766
2157.0,84.86,-9.54,3.35,Zona 4,0.5577998850957033,0.3591273553937959,0.5714975086921149,0.49614158306053807
2158.0,82.33,-13.29,4.04,Zona 4,0.40479574249342326,0.23050132107292942,0.46132019280101577,0.36553908545578945
2159.0,87.28,-9.39,2.7,Zona 4,0.7041516736717973,0.5132573668546787,0.6983964837483413,0.638601841424939
2160.0,84.18,0.0,2.34,Zona 4,0.5166762420247353,0.32170434155346483,0.7825811322753735,0.5403205719511912
2161.0,81.76,-5.68,2.94,Zona 4,0.37032445344864123,0.2052071834699407,0.6482990840260697,0.40794357364821715
2162.0,83.08,-29.69,5.39,Zona 4,0.45015270176287386,0.2657236100989593,0.29171607385635295,0.3358641285727287
2163.0,80.43,-52.22,11.83,Zona 4,0.2898914456774823,0.15076956982683032,0.0,0.1468870051681042
2164.0,74.33,-18.79,6.04,Zona 4,0.0,0.0,0.2247342989479724,0.07491143298265747
2165.0,79.68,0.48,3.29,Zona 4,0.24453448640803174,0.12270655742632486,0.5821295265244957,0.3164568567862841
2166.0,82.25,-6.73,3.43,Zona 4,0.3999576668380153,0.22687640329663128,0.5576139387026331,0.3948160029457599
2167.0,77.69,-9.37,4.49,Zona 4,0.12418735447975567,0.05661471203017587,0.3991921650488809,0.19333141051960415
2168.0,75.57,-15.53,5.96,Zona 4,0.0,0.0,0.2325782681469858,0.07752608938232859
2169.0,83.34,-11.38,3.8,Zona 4,0.4658764476429504,0.27847542798885994,0.4973491422763755,0.4139003393027287
2170.0,84.55,-16.41,4.24,Zona 4,0.5390523419309969,0.34178451858502523,0.43289490653867074,0.43791058901823093
2171.0,84.76,-8.09,3.07,Zona 4,0.5517522905264436,0.35347996555498584,0.6228450083055787,0.5093590881290027
2172.0,82.4,0.0,2.8,Zona 4,0.40902905869190576,0.23369356989170043,0.6770017996613003,0.4399081427483022
2173.0,82.61,-11.01,3.29,Zona 4,0.4217290072873516,0.24338610668093197,0.5821295265244957,0.4157482134975931
2174.0,82.7,-26.59,4.67,Zona 4,0.42717184239968586,0.24759384547527552,0.376068661001226,0.35027811629206246
2175.0,83.24,-14.91,3.77,Zona 4,0.45982885307368976,0.2735368804004188,0.5020119590857335,0.41179256418661403
2176.0,81.9,-5.1,3.28,Zona 4,0.3787910858456054,0.21130601092767898,0.5839203619235758,0.3913391528989534
2177.0,85.59,0.0,2.38,Zona 4,0.6019473254513021,0.4019502468124725,0.7726098940001027,0.5921691554212924
2178.0,87.5,-7.27,2.87,Zona 4,0.7174563817241694,0.5291808824974602,0.6624754079276896,0.6363708907164397
2179.0,83.5,-0.28,2.81,Zona 4,0.4755525989537663,0.2864668072192129,0.6749045105440722,0.47897463890568376
2180.0,86.7,-4.15,2.75,Zona 4,0.6690756251700889,0.47295805590634754,0.6876018877819144,0.6098785229527836
2181.0,85.81,-0.42,2.53,Zona 4,0.6152520335036742,0.41543311253775106,0.7366543689802667,0.5891131716738973
2182.0,87.76,-16.94,3.63,Zona 4,0.7331801276042459,0.5484815581848994,0.5242741982250048,0.6019786280047167
2183.0,76.36,-11.73,3.9,Zona 4,0.04375434670859674,0.018682221662998932,0.48206805002322206,0.18150153946493927
2184.0,81.65,0.07,2.82,Zona 4,0.3636720994224552,0.20046618413914152,0.6728146718479322,0.4123176518031763
2185.0,81.19,-3.6,2.9,Zona 4,0.3358531644038584,0.18111612629717033,0.6563579631226468,0.3911090846078918
2186.0,77.35,-23.17,8.66,Zona 4,0.1036255329442712,0.046462578953824885,0.012767480563052472,0.05428519748704951
2187.0,64.19,-21.36,73.55,Zona 4,0.0,0.0,0.0,0.0
2188.0,64.22,-6.67,6.97,Zona 4,0.0,0.0,0.14048472144628113,0.04682824048209371
2189.0,80.92,-3.21,3.42,Zona 4,0.3195246590668564,0.17010802029861893,0.5593315719645814,0.34965475044335226
2190.0,76.58,-3.19,4.19,Zona 4,0.05705905476096884,0.024630910036708142,0.43987350526869856,0.1738544900221252
2191.0,82.8,0.0,2.61,Zona 4,0.43321943696894555,0.2523074540235464,0.7183403928108527,0.46795576126778154
2192.0,81.24,-4.89,5.11,Zona 4,0.33887696168848824,0.18318272080223985,0.3230989261285702,0.2817195362064328
2193.0,96.93,-9.37,4.63,Zona 4,1.0,0.9999999999999998,0.3811292425236026,0.7937097475078675
2194.0,80.15,0.0,4.5,Zona 4,0.27295818088355406,0.14007936796394493,0.3978834014961898,0.2703069834478962
2195.0,81.36,-8.31,4.38,Zona 4,0.3461340751716006,0.188178748408113,0.41378407145200663,0.3160322983439068
2196.0,75.48,-2.33,6.88,Zona 4,0.0,0.0,0.14813046194421603,0.04937682064807201
2197.0,75.77,-19.0,12.21,Zona 4,0.008073538749962078,0.003346864052022669,0.0,0.0038068009339949156
2198.0,78.46,1.08,4.77,Zona 4,0.17075383266305802,0.08080644674498672,0.3636044453022755,0.20505490823677341
2199.0,77.96,-8.07,4.84,Zona 4,0.14051585981675763,0.06490578577364636,0.3550340068974546,0.1868185508292862
